index,a1,intercept,shape,scale,penalty,score
407,0.03,100,5,0.4,18804.80069,3.27E-06
102,0.001,1000,1,1,18823.02586,3.21E-06
24,0.001,100,2,0.8,18876.33045,3.03E-06
113,0.001,1000,5,0.4,18908.66454,2.93E-06
29,0.001,100,5,0.4,18911.44845,2.92E-06
281,0.01,100,5,0.4,18927.699,2.87E-06
155,0.003,100,5,0.4,18981.28088,2.71E-06
81,0.001,300,7,1,19103.17352,2.39E-06
207,0.003,300,7,1,19120.81468,2.34E-06
234,0.003,1000,2,0.8,19194.77209,2.17E-06
360,0.01,1000,2,0.8,19203.04286,2.15E-06
414,0.03,100,7,0.4,19278.24433,1.99E-06
108,0.001,1000,2,0.8,19304.42373,1.94E-06
288,0.01,100,7,0.4,19331.48389,1.88E-06
372,0.01,1000,7,0.4,19352.91481,1.84E-06
246,0.003,1000,7,0.4,19390.49942,1.77E-06
36,0.001,100,7,0.4,19412.56535,1.73E-06
188,0.003,300,1,5,19420.25543,1.72E-06
348,0.01,1000,0.5,2,19435.41836,1.69E-06
109,0.001,1000,2,1,19439.28207,1.68E-06
162,0.003,100,7,0.4,19454.49585,1.66E-06
120,0.001,1000,7,0.4,19478.09455,1.62E-06
62,0.001,300,1,5,19495.39076,1.59E-06
19,0.001,100,1,2,19497.53931,1.59E-06
25,0.001,100,2,1,19499.84255,1.58E-06
408,0.03,100,5,0.6,19558.08966,1.49E-06
447,0.03,300,2,5,19576.47513,1.46E-06
96,0.001,1000,0.5,2,19579.48124,1.46E-06
282,0.01,100,5,0.6,19582.42883,1.45E-06
361,0.01,1000,2,1,19610.11031,1.41E-06
151,0.003,100,2,1,19618.00946,1.40E-06
277,0.01,100,2,1,19622.93617,1.40E-06
145,0.003,100,1,2,19646.89663,1.36E-06
240,0.003,1000,5,0.6,19650.59449,1.36E-06
327,0.01,300,5,2,19656.96653,1.35E-06
222,0.003,1000,0.5,2,19660.23138,1.34E-06
235,0.003,1000,2,1,19664.61907,1.34E-06
321,0.01,300,2,5,19668.99488,1.33E-06
265,0.01,100,0.5,5,19679.1983,1.32E-06
156,0.003,100,5,0.6,19681.41175,1.31E-06
271,0.01,100,1,2,19687.4297,1.31E-06
201,0.003,300,5,2,19702.04729,1.29E-06
114,0.001,1000,5,0.6,19705.04902,1.28E-06
13,0.001,100,0.5,5,19710.29605,1.28E-06
30,0.001,100,5,0.6,19716.28032,1.27E-06
139,0.003,100,0.5,5,19721.67456,1.26E-06
366,0.01,1000,5,0.6,19746.87658,1.23E-06
75,0.001,300,5,2,19832.95898,1.13E-06
229,0.003,1000,1,2,19869.71403,1.09E-06
37,0.001,100,7,0.6,19905.06365,1.05E-06
31,0.001,100,5,0.8,19905.33339,1.05E-06
157,0.003,100,5,0.8,19931.73497,1.02E-06
289,0.01,100,7,0.6,19934.22268,1.02E-06
103,0.001,1000,1,2,19937.71327,1.02E-06
355,0.01,1000,1,2,19961.69199,9.91E-07
69,0.001,300,2,5,19963.60638,9.89E-07
283,0.01,100,5,0.8,19976.4148,9.76E-07
163,0.003,100,7,0.6,19982.551,9.70E-07
278,0.01,100,2,2,20000.15346,9.54E-07
