index,a1,intercept,shape,scale,penalty,score
179,0.003,300,0.5,1,15992.95656,8.34E-05
53,0.001,300,0.5,1,16021.39508,8.05E-05
532,0.1,100,5,0.2,16040.82594,7.86E-05
344,0.01,1000,0.5,0.4,16044.90033,7.82E-05
735,0.3,1000,2,0.2,16074.46027,7.54E-05
64,0.001,300,2,0.4,16100.65716,7.30E-05
406,0.03,100,5,0.2,16105.68822,7.25E-05
70,0.001,300,5,0.2,16172.67357,6.67E-05
190,0.003,300,2,0.4,16179.98276,6.61E-05
310,0.01,300,1,0.6,16202.50009,6.43E-05
58,0.001,300,1,0.6,16218.28017,6.31E-05
597,0.1,1000,0.5,0.6,16229.19082,6.22E-05
184,0.003,300,1,0.6,16253.8391,6.04E-05
390,0.03,100,0.5,2,16263.75127,5.96E-05
455,0.03,300,7,0.2,16270.582,5.91E-05
396,0.03,100,1,1,16317.41303,5.58E-05
723,0.3,1000,0.5,0.6,16318.5022,5.58E-05
437,0.03,300,1,0.8,16365.06426,5.27E-05
609,0.1,1000,2,0.2,16367.46414,5.25E-05
218,0.003,1000,0.5,0.4,16370.16412,5.24E-05
581,0.1,300,7,0.2,16414.62348,4.96E-05
92,0.001,1000,0.5,0.4,16416.69276,4.95E-05
203,0.003,300,7,0.2,16420.90335,4.92E-05
563,0.1,300,1,0.8,16436.12762,4.83E-05
89,0.001,1000,0.1,2,16438.70997,4.82E-05
215,0.003,1000,0.1,2,16445.36314,4.78E-05
280,0.01,100,5,0.2,16469.80618,4.64E-05
603,0.1,1000,1,0.4,16506.28789,4.44E-05
154,0.003,100,5,0.2,16512.62191,4.40E-05
28,0.001,100,5,0.2,16562.74612,4.14E-05
185,0.003,300,1,0.8,16565.97465,4.13E-05
329,0.01,300,7,0.2,16588.85263,4.01E-05
269,0.01,100,1,0.8,16591.89801,4.00E-05
312,0.01,300,1,1,16640.72609,3.77E-05
311,0.01,300,1,0.8,16645.50341,3.75E-05
357,0.01,1000,2,0.2,16664.96044,3.66E-05
274,0.01,100,2,0.4,16708.31729,3.48E-05
539,0.1,100,7,0.2,16709.83443,3.47E-05
849,1,1000,0.5,0.6,16723.03317,3.42E-05
861,1,1000,2,0.2,16736.55534,3.36E-05
65,0.001,300,2,0.6,16741.39711,3.34E-05
413,0.03,100,7,0.2,16755.50712,3.29E-05
443,0.03,300,2,0.6,16756.50995,3.28E-05
598,0.1,1000,0.5,0.8,16767.3873,3.24E-05
438,0.03,300,1,1,16773.60856,3.22E-05
77,0.001,300,7,0.2,16778.89809,3.20E-05
59,0.001,300,1,0.8,16786.13177,3.17E-05
191,0.003,300,2,0.6,16799.37833,3.12E-05
287,0.01,100,7,0.2,16800.27427,3.12E-05
483,0.03,1000,2,0.2,16807.28726,3.09E-05
569,0.1,300,2,0.6,16808.985,3.08E-05
594,0.1,1000,0.1,5,16819.21603,3.05E-05
105,0.001,1000,2,0.2,16832.0136,3.00E-05
231,0.003,1000,2,0.2,16853.47724,2.93E-05
694,0.3,300,2,0.4,16880.72361,2.83E-05
820,1,300,2,0.4,16884.5963,2.82E-05
317,0.01,300,2,0.6,16894.24681,2.79E-05
815,1,300,1,0.8,16903.46561,2.76E-05
610,0.1,1000,2,0.4,16935.25853,2.66E-05
564,0.1,300,1,1,16937.28731,2.65E-05
306,0.01,300,0.5,2,16938.06812,2.65E-05
616,0.1,1000,5,0.2,16938.25263,2.65E-05
477,0.03,1000,1,0.4,16947.90858,2.62E-05
729,0.3,1000,1,0.4,16951.21206,2.61E-05
148,0.003,100,2,0.4,16954.98424,2.59E-05
720,0.3,1000,0.1,5,16961.4167,2.57E-05
846,1,1000,0.1,5,16972.77138,2.54E-05
444,0.03,300,2,0.8,16973.97973,2.54E-05
22,0.001,100,2,0.4,16976.8889,2.53E-05
490,0.03,1000,5,0.2,16986.96534,2.50E-05
186,0.003,300,1,1,16986.9774,2.50E-05
445,0.03,300,2,1,16991.79095,2.48E-05
449,0.03,300,5,0.4,17020.32674,2.40E-05
575,0.1,300,5,0.4,17022.60386,2.40E-05
471,0.03,1000,0.5,0.6,17031.24047,2.37E-05
742,0.3,1000,5,0.2,17042.40774,2.34E-05
512,0.1,100,0.5,0.4,17047.08686,2.33E-05
180,0.003,300,0.5,2,17047.26237,2.33E-05
604,0.1,1000,1,0.6,17048.97878,2.32E-05
558,0.1,300,0.5,2,17056.43819,2.30E-05
526,0.1,100,2,0.4,17056.88303,2.30E-05
351,0.01,1000,1,0.4,17060.2452,2.29E-05
736,0.3,1000,2,0.4,17096.02954,2.20E-05
60,0.001,300,1,1,17097.77784,2.19E-05
318,0.01,300,2,0.8,17103.30507,2.18E-05
143,0.003,100,1,0.8,17109.77579,2.16E-05
264,0.01,100,0.5,2,17113.48416,2.15E-05
700,0.3,300,5,0.2,17120.3409,2.14E-05
518,0.1,100,1,0.2,17127.60405,2.12E-05
432,0.03,300,0.5,2,17130.94143,2.11E-05
826,1,300,5,0.2,17134.24803,2.10E-05
323,0.01,300,5,0.4,17135.35835,2.10E-05
161,0.003,100,7,0.2,17138.25752,2.09E-05
17,0.001,100,1,0.8,17143.69851,2.08E-05
71,0.001,300,5,0.4,17153.58967,2.06E-05
724,0.3,1000,0.5,0.8,17164.6104,2.03E-05
66,0.001,300,2,0.8,17172.15632,2.01E-05
749,0.3,1000,7,0.2,17173.01704,2.01E-05
570,0.1,300,2,0.8,17179.12951,2.00E-05
571,0.1,300,2,1,17186.78953,1.98E-05
401,0.03,100,2,0.6,17187.73826,1.98E-05
855,1,1000,1,0.4,17206.69928,1.93E-05
725,0.3,1000,0.5,1,17230.76464,1.88E-05
599,0.1,1000,0.5,1,17235.64452,1.87E-05
364,0.01,1000,5,0.2,17248.611,1.84E-05
35,0.001,100,7,0.2,17250.79418,1.84E-05
319,0.01,300,2,1,17251.62589,1.83E-05
192,0.003,300,2,0.8,17253.37104,1.83E-05
345,0.01,1000,0.5,0.6,17264.09216,1.81E-05
93,0.001,1000,0.5,0.6,17266.02349,1.80E-05
197,0.003,300,5,0.4,17266.52805,1.80E-05
270,0.01,100,1,1,17287.06471,1.76E-05
582,0.1,300,7,0.4,17308.1441,1.72E-05
730,0.3,1000,1,0.6,17313.11277,1.71E-05
456,0.03,300,7,0.4,17344.13774,1.65E-05
238,0.003,1000,5,0.2,17357.47521,1.62E-05
623,0.1,1000,7,0.2,17367.72495,1.60E-05
219,0.003,1000,0.5,0.6,17370.06615,1.60E-05
732,0.3,1000,1,1,17373.75478,1.59E-05
275,0.01,100,2,0.6,17381.01039,1.58E-05
484,0.03,1000,2,0.4,17383.52695,1.57E-05
737,0.3,1000,2,0.6,17384.70703,1.57E-05
565,0.1,300,1,2,17385.27582,1.57E-05
689,0.3,300,1,0.8,17388.18407,1.57E-05
138,0.003,100,0.5,2,17395.79709,1.55E-05
330,0.01,300,7,0.4,17399.62057,1.55E-05
54,0.001,300,0.5,2,17432.0173,1.49E-05
439,0.03,300,1,2,17438.159,1.48E-05
605,0.1,1000,1,0.8,17455.942,1.45E-05
12,0.001,100,0.5,2,17473.21256,1.42E-05
576,0.1,300,5,0.6,17480.1836,1.41E-05
193,0.003,300,2,1,17499.47497,1.38E-05
472,0.03,1000,0.5,0.8,17500.70024,1.38E-05
144,0.003,100,1,1,17511.95931,1.36E-05
850,1,1000,0.5,0.8,17518.89966,1.35E-05
225,0.003,1000,1,0.4,17545.0345,1.31E-05
99,0.001,1000,1,0.4,17554.69613,1.29E-05
112,0.001,1000,5,0.2,17561.88484,1.28E-05
731,0.3,1000,1,0.8,17568.52877,1.27E-05
743,0.3,1000,5,0.4,17583.67482,1.25E-05
738,0.3,1000,2,0.8,17607.77368,1.22E-05
149,0.003,100,2,0.6,17608.90316,1.22E-05
450,0.03,300,5,0.6,17613.24465,1.21E-05
559,0.1,300,0.5,5,17622.76054,1.20E-05
78,0.001,300,7,0.4,17628.77471,1.19E-05
527,0.1,100,2,0.6,17630.84733,1.19E-05
67,0.001,300,2,1,17642.40683,1.17E-05
468,0.03,1000,0.1,5,17645.83169,1.17E-05
23,0.001,100,2,0.6,17649.8536,1.16E-05
750,0.3,1000,7,0.4,17658.74055,1.15E-05
402,0.03,100,2,0.8,17665.26248,1.14E-05
577,0.1,300,5,0.8,17669.69676,1.14E-05
726,0.3,1000,0.5,2,17688.93899,1.11E-05
106,0.001,1000,2,0.4,17697.84357,1.10E-05
346,0.01,1000,0.5,0.8,17711.0358,1.08E-05
583,0.1,300,7,0.6,17727.32115,1.06E-05
358,0.01,1000,2,0.4,17729.89253,1.06E-05
18,0.001,100,1,1,17736.17587,1.05E-05
810,1,300,0.5,2,17737.42152,1.05E-05
232,0.003,1000,2,0.4,17766.39112,1.02E-05
324,0.01,300,5,0.6,17770.37261,1.01E-05
606,0.1,1000,1,1,17772.56884,1.01E-05
204,0.003,300,7,0.4,17776.57156,1.01E-05
739,0.3,1000,2,1,17787.175,9.95E-06
851,1,1000,0.5,1,17841.77806,9.36E-06
611,0.1,1000,2,0.6,17844.62964,9.33E-06
313,0.01,300,1,2,17850.64211,9.27E-06
61,0.001,300,1,2,17856.90369,9.20E-06
497,0.03,1000,7,0.2,17883.85482,8.93E-06
473,0.03,1000,0.5,1,17885.7004,8.91E-06
816,1,300,1,1,17888.95447,8.88E-06
868,1,1000,5,0.2,17889.99416,8.87E-06
572,0.1,300,2,2,17896.98282,8.80E-06
198,0.003,300,5,0.6,17897.28761,8.80E-06
119,0.001,1000,7,0.2,17922.19018,8.55E-06
733,0.3,1000,1,2,17938.31178,8.40E-06
478,0.03,1000,1,0.6,17950.95183,8.28E-06
187,0.003,300,1,2,17952.21123,8.27E-06
220,0.003,1000,0.5,0.8,17961.61347,8.19E-06
72,0.001,300,5,0.6,17973.16509,8.08E-06
371,0.01,1000,7,0.2,18017.24919,7.70E-06
94,0.001,1000,0.5,0.8,18019.15201,7.68E-06
325,0.01,300,5,0.8,18021.90965,7.66E-06
331,0.01,300,7,0.6,18044.11744,7.47E-06
216,0.003,1000,0.1,5,18045.52837,7.46E-06
433,0.03,300,0.5,5,18048.84322,7.43E-06
479,0.03,1000,1,0.8,18048.85644,7.43E-06
391,0.03,100,0.5,5,18051.05721,7.41E-06
347,0.01,1000,0.5,1,18054.30955,7.39E-06
451,0.03,300,5,0.8,18086.38463,7.13E-06
578,0.1,300,5,1,18089.83721,7.10E-06
875,1,1000,7,0.2,18091.95768,7.08E-06
457,0.03,300,7,0.6,18108.04359,6.96E-06
342,0.01,1000,0.1,5,18139.16093,6.72E-06
90,0.001,1000,0.1,5,18139.2016,6.72E-06
600,0.1,1000,0.5,2,18155.03645,6.61E-06
869,1,1000,5,0.4,18173.54542,6.47E-06
612,0.1,1000,2,0.8,18174.23278,6.47E-06
856,1,1000,1,0.6,18176.90101,6.45E-06
205,0.003,300,7,0.6,18182.52525,6.41E-06
744,0.3,1000,5,0.6,18187.87386,6.37E-06
858,1,1000,1,1,18193.11926,6.34E-06
73,0.001,300,5,0.8,18195.26129,6.32E-06
707,0.3,300,7,0.2,18200.56742,6.28E-06
528,0.1,100,2,0.8,18203.93235,6.26E-06
452,0.03,300,5,1,18206.49901,6.24E-06
221,0.003,1000,0.5,1,18215.71661,6.18E-06
245,0.003,1000,7,0.2,18226.13485,6.11E-06
697,0.3,300,2,1,18227.27249,6.10E-06
307,0.01,300,0.5,5,18229.99033,6.09E-06
708,0.3,300,7,0.4,18244.08671,5.99E-06
353,0.01,1000,1,0.8,18244.99541,5.99E-06
95,0.001,1000,0.5,1,18261.13034,5.88E-06
226,0.003,1000,1,0.6,18268.5675,5.83E-06
863,1,1000,2,0.6,18273.87784,5.80E-06
701,0.3,300,5,0.4,18274.50354,5.80E-06
690,0.3,300,1,1,18275.79056,5.79E-06
533,0.1,100,5,0.4,18280.75563,5.76E-06
199,0.003,300,5,0.8,18284.78498,5.73E-06
857,1,1000,1,0.8,18290.47345,5.70E-06
480,0.03,1000,1,1,18298.56803,5.64E-06
276,0.01,100,2,0.8,18298.59428,5.64E-06
695,0.3,300,2,0.6,18300.30011,5.63E-06
613,0.1,1000,2,1,18305.51805,5.60E-06
709,0.3,300,7,0.6,18307.61764,5.59E-06
227,0.003,1000,1,0.8,18308.11751,5.59E-06
585,0.1,300,7,1,18310.47115,5.57E-06
745,0.3,1000,5,0.8,18315.83526,5.54E-06
617,0.1,1000,5,0.4,18325.82513,5.48E-06
485,0.03,1000,2,0.6,18337.53806,5.41E-06
865,1,1000,2,1,18346.66596,5.36E-06
397,0.03,100,1,2,18348.48129,5.35E-06
79,0.001,300,7,0.6,18351.67456,5.33E-06
55,0.001,300,0.5,5,18358.96482,5.28E-06
446,0.03,300,2,2,18363.71661,5.26E-06
864,1,1000,2,0.8,18371.02936,5.22E-06
181,0.003,300,0.5,5,18372.95146,5.21E-06
584,0.1,300,7,0.8,18373.24135,5.20E-06
566,0.1,300,1,5,18374.28466,5.20E-06
354,0.01,1000,1,1,18385.14266,5.14E-06
702,0.3,300,5,0.6,18385.52634,5.13E-06
862,1,1000,2,0.4,18388.00062,5.12E-06
101,0.001,1000,1,0.8,18392.91192,5.09E-06
352,0.01,1000,1,0.6,18393.26113,5.09E-06
233,0.003,1000,2,0.6,18407.11488,5.02E-06
194,0.003,300,2,2,18408.03201,5.01E-06
751,0.3,1000,7,0.6,18413.99685,4.98E-06
320,0.01,300,2,2,18416.63763,4.96E-06
696,0.3,300,2,0.8,18421.07434,4.94E-06
458,0.03,300,7,0.8,18423.15532,4.93E-06
332,0.01,300,7,0.8,18446.36123,4.81E-06
876,1,1000,7,0.4,18456.18791,4.76E-06
710,0.3,300,7,0.8,18464.17233,4.71E-06
624,0.1,1000,7,0.4,18465.71992,4.71E-06
326,0.01,300,5,1,18467.47845,4.70E-06
740,0.3,1000,2,2,18467.61501,4.70E-06
200,0.003,300,5,1,18471.75261,4.68E-06
859,1,1000,1,2,18481.4836,4.63E-06
359,0.01,1000,2,0.6,18482.49758,4.62E-06
100,0.001,1000,1,0.6,18488.49632,4.59E-06
107,0.001,1000,2,0.6,18492.22426,4.57E-06
206,0.003,300,7,0.8,18500.3951,4.53E-06
870,1,1000,5,0.6,18501.28555,4.53E-06
691,0.3,300,1,2,18503.23237,4.52E-06
698,0.3,300,2,2,18526.85708,4.41E-06
486,0.03,1000,2,0.8,18530.88037,4.39E-06
684,0.3,300,0.5,2,18541.62795,4.34E-06
